Age,AgexTI1,AgexTI2,AgexTI3,AgexTI4,AgexTI5,PCE1,PCE2,PCE3,PCE4,PC1,PC2,PC3,PC4,PN1,PN2,PN3,PN4,TI1,TI2,TI3,TI4,TI5
-1.047,1.076,-0.114,0.836,-0.457,0.693,-0.895,-0.538,0.114,0.365,-0.495,-0.623,-0.647,-0.565,-1.553,-0.467,-0.496,-1.268,-1.068,0.022,-0.848,0.211,-0.81
-1.047,-0.21,1.05,-0.325,0.634,0.693,0.158,-0.538,0.114,0.365,0.59,0.379,0.404,-0.565,0.197,-0.467,0.26,0.323,0.087,-0.999,0.2,-0.811,-0.81
1.209,-0.002,1.285,1.493,0.027,1.247,-0.895,0.331,-0.896,0.365,0.59,1.38,-0.647,0.505,-0.678,-0.467,-1.252,0.323,0.087,1.044,1.248,0.211,1.139
-1.047,-0.21,-0.114,-0.325,-0.457,0.693,0.158,-0.538,0.114,-0.584,0.59,0.379,0.404,-0.565,0.197,0.341,-0.496,-0.473,0.087,0.022,0.2,0.211,-0.81
1.209,-2.975,-0.059,-2.531,-1.232,0.014,0.158,-0.538,0.114,-0.584,-0.495,0.379,-0.647,-0.565,-2.429,-2.891,-2.763,-2.064,-2.222,0.022,-1.896,-0.811,0.164
-1.047,-0.21,-0.114,-0.325,-0.457,0.693,0.158,-0.538,0.114,-0.584,0.59,0.379,0.404,0.505,1.072,1.149,1.016,1.119,0.087,0.022,0.2,0.211,-0.81
-1.047,1.076,-0.114,-0.325,-1.548,-1.443,-0.895,0.331,0.114,-0.584,-0.495,0.379,0.404,1.574,1.072,1.149,1.016,0.323,-1.068,0.022,0.2,1.233,1.139
0.081,-0.106,-0.086,-0.177,-0.215,-0.263,-0.895,-0.538,0.114,0.365,0.59,0.379,1.455,0.505,1.072,0.341,0.26,1.119,0.087,0.022,-0.848,0.211,-0.81
0.081,-0.106,-0.176,-0.177,-0.215,-0.181,0.158,-0.538,0.114,0.365,0.59,-0.623,-0.647,0.505,0.197,-0.467,0.26,0.323,0.087,-0.999,-0.848,0.211,0.164
0.081,-0.106,-0.266,-0.177,-0.215,-0.263,0.158,-0.538,0.114,-0.584,-2.667,-3.626,-0.647,-1.634,0.197,1.149,1.016,1.119,0.087,-2.02,-0.848,0.211,-0.81
2.338,0.102,-2.629,0.39,0.27,0.208,0.158,-0.538,-0.896,0.365,0.59,1.38,0.404,0.505,1.072,0.341,-0.496,0.323,0.087,-0.999,0.2,0.211,0.164
0.081,-0.206,-0.086,-0.177,-0.299,-0.263,0.158,-0.538,0.114,-0.584,-0.495,-0.623,-0.647,-0.565,0.197,1.149,-0.496,-0.473,-1.068,0.022,-0.848,-0.811,-0.81
0.081,-0.106,-0.176,-0.087,-0.215,-0.263,0.158,-0.538,0.114,0.365,0.59,-0.623,0.404,0.505,0.197,-0.467,-0.496,-0.473,0.087,-0.999,0.2,0.211,-0.81
2.338,0.102,-2.629,0.39,-2.165,0.208,0.158,0.331,0.114,0.365,0.59,0.379,-0.647,0.505,0.197,1.149,0.26,-0.473,0.087,-0.999,0.2,-0.811,0.164
0.081,-0.206,0.004,-0.177,-0.13,-0.263,-0.895,-0.538,-0.896,-0.584,-0.495,1.38,-0.647,1.574,-0.678,1.149,-0.496,1.119,-1.068,1.044,-0.848,1.233,-0.81
0.081,-0.106,-0.086,-0.087,-0.299,-0.181,0.158,0.331,-0.896,0.365,-0.495,0.379,-0.647,0.505,0.197,0.341,-0.496,0.323,0.087,0.022,0.2,-0.811,0.164
-1.047,-0.21,-1.277,-1.487,-0.457,-0.375,0.158,-0.538,0.114,0.365,-0.495,0.379,0.404,0.505,-2.429,-0.467,-1.252,-2.064,0.087,1.044,1.248,0.211,0.164
-1.047,-0.21,-0.114,-1.487,0.634,0.693,0.158,0.331,0.114,0.365,-0.495,-0.623,-2.749,-2.704,-3.304,-3.7,-2.763,-2.86,0.087,0.022,1.248,-0.811,-0.81
0.081,-0.206,-0.086,-0.087,-0.299,-0.181,-0.895,0.331,-0.896,0.365,0.59,0.379,1.455,1.574,0.197,-0.467,1.016,1.119,-1.068,0.022,0.2,-0.811,0.164
0.081,-0.106,-0.086,-0.087,-0.13,-0.181,0.158,-0.538,0.114,0.365,-0.495,0.379,0.404,-0.565,0.197,-0.467,0.26,1.119,0.087,0.022,0.2,1.233,0.164
